Approach,,,,Retraction,
Distance (nm),Force (nN),,,Distance (nm),Force (nN)
1.04E+02,2.59E-01,,,1.26E+03,0.00
1.00E+02,3.05E-01,,,1.26E+03,0.02
9.67E+01,3.33E-01,,,1.26E+03,0.02
9.30E+01,3.62E-01,,,1.27E+03,0.03
9.01E+01,4.38E-01,,,1.27E+03,0.02
8.71E+01,4.78E-01,,,1.28E+03,0.01
8.36E+01,5.29E-01,,,1.28E+03,0.02
8.02E+01,5.91E-01,,,1.28E+03,0.03
7.68E+01,6.50E-01,,,1.29E+03,0.04
7.42E+01,7.37E-01,,,1.29E+03,0.01
7.15E+01,8.11E-01,,,1.29E+03,0.02
6.85E+01,9.07E-01,,,1.30E+03,0.02
6.52E+01,1.02E+00,,,1.30E+03,0.01
6.27E+01,1.14E+00,,,1.31E+03,0.01
5.97E+01,1.25E+00,,,1.31E+03,0.03
5.73E+01,1.39E+00,,,1.31E+03,0.04
5.46E+01,1.52E+00,,,1.32E+03,0.01
5.19E+01,1.66E+00,,,1.32E+03,0.01
4.94E+01,1.82E+00,,,1.33E+03,0.00
4.70E+01,1.99E+00,,,1.33E+03,0.01
4.48E+01,2.15E+00,,,1.33E+03,0.00
4.24E+01,2.32E+00,,,1.34E+03,0.03
4.05E+01,2.51E+00,,,1.34E+03,0.00
3.84E+01,2.72E+00,,,1.35E+03,0.00
3.60E+01,2.92E+00,,,1.35E+03,0.02
3.41E+01,3.11E+00,,,1.35E+03,0.01
3.28E+01,3.34E+00,,,1.36E+03,0.03
3.11E+01,3.54E+00,,,1.36E+03,0.01
2.93E+01,3.78E+00,,,1.36E+03,0.01
2.76E+01,4.03E+00,,,1.37E+03,0.00
2.59E+01,4.28E+00,,,1.37E+03,-0.01
2.44E+01,4.51E+00,,,1.37E+03,0.00
2.28E+01,4.76E+00,,,1.38E+03,0.01
2.18E+01,5.03E+00,,,1.38E+03,0.00
2.06E+01,5.29E+00,,,1.39E+03,-0.01
1.86E+01,5.58E+00,,,1.39E+03,0.00
1.72E+01,5.86E+00,,,1.40E+03,-0.01
1.60E+01,6.15E+00,,,1.40E+03,-0.01
1.53E+01,6.44E+00,,,1.40E+03,0.00
1.40E+01,6.73E+00,,,1.41E+03,0.00
1.24E+01,7.02E+00,,,1.41E+03,0.00
1.15E+01,7.33E+00,,,1.41E+03,-0.01
1.03E+01,7.62E+00,,,1.42E+03,-0.01
1.01E+01,7.93E+00,,,1.42E+03,-0.01
9.47E+00,8.26E+00,,,1.43E+03,0.03
8.42E+00,8.58E+00,,,1.43E+03,0.00
7.88E+00,8.92E+00,,,1.43E+03,-0.01
6.72E+00,9.26E+00,,,1.44E+03,0.01
5.84E+00,9.59E+00,,,1.44E+03,0.00
4.91E+00,9.92E+00,,,1.44E+03,0.00
5.03E+00,1.03E+01,,,1.45E+03,0.00
4.45E+00,1.06E+01,,,1.45E+03,-0.01
3.28E+00,1.10E+01,,,1.46E+03,0.01
2.26E+00,1.14E+01,,,1.46E+03,0.01
1.55E+00,1.17E+01,,,1.46E+03,0.01
1.75E+00,1.21E+01,,,1.47E+03,-0.01
9.83E-01,1.24E+01,,,1.47E+03,0.00
5.31E-01,1.28E+01,,,1.48E+03,0.00
3.53E-01,1.32E+01,,,1.48E+03,0.00
-1.92E-01,1.35E+01,,,1.48E+03,0.01
